tx2,gene.name
transcript/33604,arhgap1
transcript/33605,ccdc9b
transcript/33606,panx1b
transcript/33608,hnrnpul1
transcript/33609,mvp
transcript/33610,ush1ga
transcript/33611,snx1a
transcript/33612,polk
transcript/33613,appb
transcript/33614,herc6
transcript/33615,shd
transcript/33616,zgc:66440
transcript/33617,fasn
transcript/33618,adrb2b
transcript/33619,tiam1b
transcript/33620,cabz01073265.1
transcript/33621,coq8aa
transcript/33622,si:ch73-138n13.1
transcript/33623,si:ch1073-174d20.2
transcript/33625,rnh1
transcript/33626,prpsap1
transcript/33627,gbp10
transcript/33628,parp9
transcript/33629,stradb
transcript/33630,enschap00000053571
transcript/33631,ccdc40
transcript/33632,nsun7
transcript/33633,irf2bp2a
transcript/33634,znf16l
transcript/33635,srsf2b
transcript/33636,atp8b2
transcript/33637,ccdc50
transcript/33638,pfkma
transcript/33639,znf276
transcript/33640,med13b
transcript/33641,unc13c
transcript/33642,lama3
transcript/33643,mia3
transcript/33644,mtus1a
transcript/33645,selo
transcript/33646,si:dkeyp-123h10.2
transcript/33647,ksr2
transcript/33648,lrp1aa
transcript/33649,top2b
transcript/33650,enschap00000001092
transcript/33651,zfp64
transcript/33652,srsf5b
transcript/33653,entpd1
transcript/33654,eif4ebp2
transcript/33655,tmem198b
transcript/33656,npepps
transcript/33657,myo6
transcript/33659,zcchc8
transcript/33660,mfsd2aa
transcript/33661,arhgap8
transcript/33662,ppm1ab
transcript/33663,c3a.2
transcript/33664,cp
transcript/33665,hal
transcript/33666,aco1
transcript/33667,ptgdr2
transcript/33668,zgc:136870
transcript/33669,acvr2ab
transcript/33670,olfml2a
transcript/33671,si:ch73-138n13.1
transcript/33672,ampd3
transcript/33673,sema3h
transcript/33674,vwa7
transcript/33675,ppp6r3
transcript/33676,tox2
transcript/33677,cbx8
transcript/33678,nrbp1
transcript/33679,si:ch211-106k21.5
transcript/33680,slc25a12
transcript/33681,myo9b
transcript/33682,prdm9
transcript/33683,hk1
transcript/33684,smarce1
transcript/33685,slc4a1a
transcript/33686,usp5
transcript/33687,lancl2
transcript/33689,add2
transcript/33690,ppp4r2b
transcript/33691,kiaa1107
transcript/33692,cab39
transcript/33693,prkcaa
transcript/33694,ogt
transcript/33695,cmip
transcript/33696,si:ch211-185a18.2
transcript/33697,otud5a
transcript/33698,homeza
transcript/33699,nkrf
transcript/33700,ints7
transcript/33701,inpp5ja
transcript/33702,aldh18a1
transcript/33703,wdr37
transcript/33704,letm1
transcript/33705,dhx33
transcript/33706,aopep
transcript/33707,usp3
transcript/33708,eif3c
transcript/33709,pck2
transcript/33710,dera
transcript/33711,vtg3
transcript/33712,hapln1b
transcript/33713,mir1914
transcript/33714,dhrs13b.1
transcript/33715,ankrd50
transcript/33716,ipo7
transcript/33717,pik3r4
transcript/33718,hyal2b
transcript/33719,tmem184c
transcript/33720,cltca
transcript/33721,prkag1
transcript/33722,tmc5
transcript/33723,zic5
transcript/33724,arhgap24
transcript/33725,snx14
transcript/33726,aars1
transcript/33728,galnt17
transcript/33729,brinp3b
transcript/33730,mbnl3
transcript/33731,nop58
transcript/33732,apmap
transcript/33733,senp7b
transcript/33734,man1a1
transcript/33735,copb2
transcript/33736,dph5
transcript/33737,casp7
transcript/33738,ano9b
transcript/33739,itih2
transcript/33740,chdh
transcript/33741,hectd1
transcript/33742,cuedc1
transcript/33744,amelx
transcript/33745,bcl11b
transcript/33746,enschap00000015834
transcript/33747,gm4070
transcript/33748,zgc:165653
transcript/33749,mmut
transcript/33750,fbxo46
transcript/33751,plekha7a
transcript/33752,ano8b
transcript/33753,slc4a1a
transcript/33754,ddah1
transcript/33755,keap1a
transcript/33756,rhobtb4
transcript/33758,hnrnpll
transcript/33759,enschap00000004254
transcript/33760,nst1
transcript/33761,agpat3
transcript/33762,rab3il1
transcript/33763,ctnna2
transcript/33764,abcb10
transcript/33765,tmem165
transcript/33766,rb1
transcript/33769,gapvd1
transcript/33770,fpgs
transcript/33771,nptnb
transcript/33772,smpd2a
transcript/33774,kifap3a
transcript/33775,cuedc1
transcript/33776,ank3
transcript/33777,cr450793.1
transcript/33778,ppp6r2a
transcript/33779,dnttip2
transcript/33780,si:ch211-160d14.15
transcript/33781,7-Mar
transcript/33782,tmem214
transcript/33783,smarcad1a
transcript/33784,phf20
transcript/33785,nkrf
transcript/33786,crkl
transcript/33787,tomm70
transcript/33788,gcn1
transcript/33789,agpat3
transcript/33790,enschap00000016317
transcript/33791,zbtb20
transcript/33792,tln1
transcript/33793,idh3b
transcript/33794,slit2
transcript/33795,si:ch211-230g15.5
transcript/33796,cux2
transcript/33797,kat6a
transcript/33798,tmcc3
transcript/33799,tap1
transcript/33800,hps4
transcript/33801,pdha1
transcript/33802,seh1l
transcript/33803,pigo
transcript/33804,7-Mar
transcript/33805,usp9
transcript/33806,c1galt1a
transcript/33807,gas6
transcript/33808,rasa4
transcript/33809,ccdc136b
transcript/33810,copb2
transcript/33811,si:dkey-220k22.1
transcript/33812,snx14
transcript/33813,at2g18540
transcript/33814,aldh18a1
transcript/33815,srrm1
transcript/33816,si:zfos-367g9.1
transcript/33817,ryr1b
transcript/33818,myh7
transcript/33819,col1a2
transcript/33820,enschap00000055544
transcript/33821,tle4
transcript/33822,kif21a
transcript/33823,cu639469.1
transcript/33825,syt11a
transcript/33826,cyp1
transcript/33827,ilf3b
transcript/33828,ythdf3
transcript/33829,zbtb20
transcript/33830,nfil3-5
transcript/33831,nckap1
transcript/33832,cul2
transcript/33833,coq8aa
transcript/33834,cltca
transcript/33835,cttn
transcript/33836,dmgdh
transcript/33837,uso1
transcript/33838,fbxl20
transcript/33839,atn1
transcript/33840,ytx1
transcript/33841,synpo2l
transcript/33842,fbxo28
transcript/33843,pld1a
transcript/33844,arhgap11a
transcript/33845,b3glcta
transcript/33847,txlng
transcript/33848,qpctla
transcript/33849,mtmr14
transcript/33851,slc13a3
transcript/33852,l2hgdh
transcript/33853,ttn
transcript/33854,kiaa2026
transcript/33855,slc32a1
transcript/33856,pcbp3
transcript/33857,gm3414
transcript/33858,srrt
transcript/33860,cabz01079080.1
transcript/33861,exoc2
transcript/33862,pnisr
transcript/33863,hcfc1
transcript/33864,gnb2
transcript/33865,zgc:172139
transcript/33866,hsp90aa1.1
transcript/33867,clint1b
transcript/33868,cdkl1
transcript/33869,baz1a
transcript/33870,enschap00000034059
transcript/33871,ncapd2
transcript/33872,acvr1b
transcript/33873,apool
transcript/33874,zmpste24
transcript/33875,kpnb1
transcript/33876,mex3c
transcript/33877,sash1b
transcript/33878,nt5c1a
transcript/33879,spsb1
transcript/33880,zgc:112265
transcript/33881,sema4gb
transcript/33882,cabz01073265.1
transcript/33883,trap1
transcript/33884,daxx
transcript/33885,zgc:165423
transcript/33886,col2a1a
transcript/33887,vwa1
transcript/33888,aldh4a1
transcript/33889,col4a3
transcript/33890,smyhc3
transcript/33891,socs7
transcript/33892,epb41l3
transcript/33893,ttn
transcript/33894,ube4b
transcript/33895,ampd3
transcript/33896,slc34a1a
transcript/33897,atp1a1b
transcript/33898,prlra
transcript/33899,cblc
transcript/33900,smyhc3
transcript/33901,cnsta
transcript/33902,nexn
transcript/33903,plecb
transcript/33904,klhdc3
transcript/33905,lrrc49
transcript/33906,map7d2
transcript/33907,large1
transcript/33909,atn1
transcript/33910,cdh5
transcript/33911,adcy6a
transcript/33912,rasgrf2b
transcript/33913,rapgef5a
transcript/33914,slc4a10a
transcript/33915,bcam
transcript/33916,eno1
transcript/33917,crata
transcript/33918,barhl1b
transcript/33919,acin1a
transcript/33920,urb1
transcript/33921,mau2
transcript/33922,selenoo1
transcript/33923,lims1
transcript/33924,esamb
transcript/33925,crk
transcript/33926,fbn1
transcript/33927,igf2
transcript/33928,ddb_g0281095
transcript/33929,gbp1
transcript/33930,polk
transcript/33931,tbc1d10b
transcript/33932,slc9a2
transcript/33933,si:ch211-203d1.3
transcript/33934,ccdc80
transcript/33935,enschap00000025638
transcript/33936,rnh1
transcript/33937,susd1
transcript/33938,si:ch211-196h16.4
transcript/33939,naca
transcript/33940,arhgap45b
transcript/33941,si:ch211-129c21.1
transcript/33942,col17a1
transcript/33943,si:ch1073-174d20.2
transcript/33944,mfsd3
transcript/33945,csf1rb
transcript/33946,selp
transcript/33948,nek9
transcript/33949,ehd1b
transcript/33950,smtnb
transcript/33951,prr33
transcript/33952,ncoa6
transcript/33953,rsa1
transcript/33954,ythdc1
transcript/33955,ifrd1
transcript/33956,ppp1r2
transcript/33959,nsfa
transcript/33960,ppm1nb
transcript/33961,tmem62
transcript/33962,ralab
transcript/33963,klhdc2
transcript/33964,zbtb43
transcript/33965,grina
transcript/33966,impdh1a
transcript/33967,slc36a1
transcript/33968,med26
transcript/33969,cdyl
transcript/33970,fn1b
transcript/33971,klf5b
transcript/33972,kif2a
transcript/33973,ddb_g0294196
transcript/33974,unc80
transcript/33975,zbed1
transcript/33976,st3gal2
transcript/33977,c3a.2
transcript/33978,gpam
transcript/33979,tbx2b
transcript/33980,fam160b1
transcript/33981,myh11b
transcript/33982,ncam3
transcript/33983,ogg1
transcript/33984,si:ch211-233a24.2
transcript/33985,lima1
transcript/33986,dgkh
transcript/33987,pxk
transcript/33988,tp23
transcript/33989,pkp1
transcript/33990,pip5k1a
transcript/33991,tfr2
transcript/33992,nabp1a
transcript/33993,stau1
transcript/33994,si:ch211-117c9.2
transcript/33995,atad2
transcript/33996,vps13c
transcript/33997,man1a1
transcript/33998,dgkd
transcript/33999,aff3
transcript/34000,col11a2
transcript/34001,ank2
transcript/34003,cpxm1a
transcript/34004,abcc5
transcript/34005,sf3b1
transcript/34006,lamb2l
transcript/34008,nlgn3a
transcript/34009,cbx6a
transcript/34010,sox10
transcript/34011,dtna
transcript/34012,fbxl5
transcript/34013,mmadhc
transcript/34014,ufl1
transcript/34015,ctcf
transcript/34016,zgc:171446
transcript/34017,usp42
transcript/34018,msl2
transcript/34019,c7b
transcript/34020,si:ch211-261n11.7
transcript/34021,slc35e3
transcript/34022,u88
transcript/34023,sf1
transcript/34024,rereb
transcript/34025,tsc1
transcript/34026,si:cabz01093077.1
transcript/34027,enschap00000000390
transcript/34028,klhdc3
transcript/34029,engase
transcript/34030,ccsapb
transcript/34031,atm
transcript/34032,sema4d
transcript/34033,hnf4a
transcript/34034,il2rga
transcript/34035,degs1
transcript/34036,axl
transcript/34037,ubxn11
transcript/34038,mycbp2
transcript/34039,arhgap29a
transcript/34040,morc2a
transcript/34041,ctcf
transcript/34042,brd2a
transcript/34043,chd1
transcript/34044,asb2a.1
transcript/34045,bcar1
transcript/34046,ppih
transcript/34047,pdha1
transcript/34048,ppp5c
transcript/34049,gpm6bb
transcript/34050,txndc16
transcript/34051,polh
transcript/34052,phrf1
transcript/34053,ppp4r4
transcript/34054,klhl13
transcript/34055,gpc1a
transcript/34056,nst1
transcript/34057,arhgef15
transcript/34058,map2
transcript/34059,tjp1a
transcript/34061,tlk2
transcript/34062,chuk
transcript/34063,ahctf1
transcript/34064,fam122a
transcript/34065,mtrex
transcript/34066,psmd11a
transcript/34067,znf106a
transcript/34068,scmh1
transcript/34069,susd1
transcript/34070,ddx46
transcript/34071,tp63
transcript/34072,lima1
transcript/34073,fryb
transcript/34074,rnf11
transcript/34075,si:dkey-157l19.2
transcript/34076,mau2
transcript/34077,dll4
transcript/34078,mthfd1b
transcript/34079,fam160b1
transcript/34080,ugt5b2
transcript/34081,hdac9
transcript/34082,pacs2
transcript/34083,shisal2a
transcript/34084,enschap00000061701
transcript/34085,slc52a1
transcript/34086,tpcn2
transcript/34087,enschap00000014454
transcript/34088,ptcd2
transcript/34089,jupb
transcript/34090,fastkd5
transcript/34091,rhobtb2a
transcript/34092,mbpb
transcript/34093,spop
transcript/34094,thoc5
transcript/34095,tmed2
transcript/34096,ddah1
transcript/34097,arhgap35a
transcript/34098,abi2
transcript/34099,snx14
transcript/34100,nap1l1
transcript/34101,tmem169a
transcript/34102,syk
transcript/34103,afg3l2
transcript/34104,prpf39
transcript/34105,slc35f3b
transcript/34106,selo
transcript/34107,enschap00000051171
transcript/34108,mtor
transcript/34109,vldlr
transcript/34110,tm9sf3
transcript/34111,si:dkey-88l16.3
transcript/34112,4930562c15rik
transcript/34113,myh9a
transcript/34114,fbxo30a
transcript/34115,zgc:109744
transcript/34116,abcd3a
transcript/34117,flot2
transcript/34118,wdr48b
transcript/34119,cdh2
transcript/34120,retsat
transcript/34121,clasp2
transcript/34122,irea
transcript/34123,cpxm1a
transcript/34124,ncbp3
transcript/34125,capn2
transcript/34126,itga6a
transcript/34127,tfap4
transcript/34128,myh7
transcript/34129,trip11
transcript/34130,anpep
transcript/34131,prodha
transcript/34132,6-Mar
transcript/34133,smarcd3b
transcript/34134,pygb
transcript/34135,mroh1
transcript/34136,btbd11b
transcript/34137,clasrp
transcript/34138,dync1i2b
transcript/34139,ncapg
transcript/34140,mdfic
transcript/34141,mphosph8
transcript/34142,rbms1
transcript/34143,cnot3a
transcript/34144,cabz01048402.2
transcript/34145,ralyl
transcript/34146,arsb
transcript/34147,zfyve1
transcript/34148,kctd10
transcript/34149,sdf4
transcript/34150,dnm1
transcript/34151,enschap00000002137
transcript/34152,etv5a
transcript/34153,coro2ba
transcript/34154,actr6
transcript/34155,slc37a4a
transcript/34156,gbp10
transcript/34157,ap2m1b
transcript/34158,cebpz
transcript/34159,nde1
transcript/34160,man2b1
transcript/34161,porb
transcript/34162,crkl
transcript/34163,mfsd13a
transcript/34164,sympk
transcript/34165,pol
transcript/34166,mtmr1a
transcript/34167,enschap00000047765
transcript/34168,wdr81
transcript/34169,rhbdf1b
transcript/34171,muc2
transcript/34172,sptbn1
transcript/34173,net1
transcript/34174,tbc1d10b
transcript/34175,slc16a12b
transcript/34176,tepsin
transcript/34177,inhbb
transcript/34178,trpv2
transcript/34179,hnrnpua
transcript/34180,atp2a3
transcript/34181,st3gal2
transcript/34182,tef
transcript/34183,il16
transcript/34184,cdk13
transcript/34185,ttn
transcript/34186,myom2a
transcript/34187,lmod3
transcript/34188,kank1
transcript/34189,mnt
transcript/34190,actn2b
transcript/34191,socs7
transcript/34192,cylda
transcript/34193,ap2m1b
transcript/34194,klhdc2
transcript/34195,s1pr2
transcript/34196,dapk2
transcript/34197,dapk2
transcript/34198,mta2
transcript/34199,ints7
transcript/34200,tm9sf2
transcript/34201,pomt2
transcript/34202,sash1a
transcript/34203,ftsj3
transcript/34204,adrb3a
transcript/34205,kcnab2a
transcript/34207,ldb3a
transcript/34208,arhgef18a
transcript/34209,bin2
transcript/34210,plcd1a
transcript/34211,tubgcp5
transcript/34212,hnf1ba
transcript/34213,ddah1
transcript/34214,dgkh
transcript/34215,ubap2
transcript/34216,bace1
transcript/34217,kdm2ba
transcript/34219,usp8
transcript/34220,u88
transcript/34221,dhrs9
transcript/34222,cacna1ab
transcript/34223,appb
transcript/34224,lmx1al
transcript/34225,usp3
transcript/34226,chm
transcript/34227,ppp2r5a
transcript/34228,rab3gap1
transcript/34229,lingo1b
transcript/34230,mag
transcript/34231,nhlrc3
transcript/34232,srsf5b
transcript/34233,large1
transcript/34234,btbd11b
transcript/34235,sbspon
transcript/34236,lo018197.1
transcript/34237,clic1
transcript/34238,tbck
transcript/34239,mfsd6b
transcript/34240,kif18a
transcript/34241,zcchc8
transcript/34242,si:dkey-119f1.1
transcript/34243,sf3a1
transcript/34244,tardbp
transcript/34245,ankrd44
transcript/34246,enschap00000038384
transcript/34247,dyrk3
transcript/34248,c2cd2l
transcript/34249,lp61
transcript/34250,arb_02861
transcript/34251,gpbp1l1
transcript/34252,si:ch211-39f2.3
transcript/34253,slc45a3
transcript/34254,slmapa
transcript/34256,enschap00000045038
transcript/34257,atp6ap1
transcript/34258,aox6
transcript/34259,tmed2
transcript/34260,slc22a11
transcript/34261,cadm3
transcript/34262,doc2b
transcript/34263,map7d1a
transcript/34264,gtf2ird1
transcript/34265,rnf24
transcript/34266,mctp1a
transcript/34267,pi4kab
transcript/34268,pde4dip
transcript/34269,adamtsl5
transcript/34270,mical3a
transcript/34271,tnika
transcript/34272,fryb
transcript/34273,tm9sf2
transcript/34274,suz12
transcript/34275,acsbg2
transcript/34276,jade3
transcript/34277,akap10
transcript/34278,sorcs2
transcript/34279,tbl3
transcript/34280,pkp3a
transcript/34281,crebbpa
transcript/34282,mmp16b
transcript/34283,enpp2
transcript/34284,acbd3
transcript/34285,mprip
transcript/34286,mast4
transcript/34287,ddx17
transcript/34288,nst1
transcript/34289,enschap00000025933
transcript/34290,si:ch211-62a1.3
transcript/34291,ttn
transcript/34292,tlcd2
transcript/34293,pfl2
transcript/34294,abcb4
transcript/34296,enschap00000049955
transcript/34297,upf1
transcript/34298,enschap00000031536
transcript/34299,nadk2
transcript/34300,si:ch211-160d14.15
transcript/34301,rasal3
transcript/34302,smarce1
transcript/34303,ryr1b
transcript/34304,drosha
transcript/34305,doc2b
transcript/34306,zbed4
transcript/34307,nfib
transcript/34308,unc5c
transcript/34309,appb
transcript/34310,gcat
transcript/34311,rac1
transcript/34312,klc2
transcript/34313,cacna2d2
transcript/34314,syngr1a
transcript/34315,col6a2
transcript/34316,si:ch211-261n11.7
transcript/34317,nucb1
transcript/34318,tprxl
transcript/34319,si:dkey-154p10.3
transcript/34320,sel1l
transcript/34321,cylda
transcript/34322,zp3
transcript/34323,dtd2
transcript/34324,ankzf1
transcript/34325,rfng
transcript/34326,dlg5
transcript/34327,mlxipl
transcript/34328,c5
transcript/34329,dapk2
transcript/34330,cluha
transcript/34331,spbc215.13
transcript/34332,rbm5
transcript/34333,fkbp5
transcript/34334,rnf24
transcript/34335,ftr80
transcript/34336,ptpn13
transcript/34337,stag1a
transcript/34338,nadk2
transcript/34339,glb1
transcript/34340,tnni3k
transcript/34341,ldb3
transcript/34342,gdap1
transcript/34343,si:ch73-139e5.4
transcript/34344,pkp1
transcript/34345,ccdc57
transcript/34346,cabz01066694.1
transcript/34347,znf280d
transcript/34348,tc1a
transcript/34349,miox
transcript/34350,ttn
transcript/34351,slc4a1b
transcript/34352,enschap00000017394
transcript/34353,neb
transcript/34354,cluha
transcript/34355,dync1li1
transcript/34356,phf2
transcript/34357,zgc:109949
transcript/34358,dhx36
transcript/34359,abca1
transcript/34360,rab41
transcript/34361,mbpa
transcript/34362,slc9a7
transcript/34363,gid8b
transcript/34364,mir6513
transcript/34365,gpm6a
transcript/34366,rrn3
transcript/34367,cabz01088271.1
transcript/34368,sybu
transcript/34369,tlk1b
transcript/34370,bnc1
transcript/34371,qpct
transcript/34372,dnajc10
transcript/34373,pdp2
transcript/34374,macf1
transcript/34375,cfh
transcript/34376,rcbtb1
transcript/34377,itih3
transcript/34378,osbpl11
transcript/34379,si:dkey-6n6.1
transcript/34380,plekha1
transcript/34381,plekha6
transcript/34382,nab2
transcript/34383,reps2
transcript/34384,u88
transcript/34385,asb10
transcript/34386,nnt
transcript/34387,irf2a
transcript/34388,myom2a
transcript/34389,coro6
transcript/34390,snapc1b
transcript/34391,pnisr
transcript/34393,ube2z
transcript/34394,myha
transcript/34395,slc8a3
transcript/34396,large1
transcript/34397,si:dkey-84j12.1
transcript/34398,btbd3b
transcript/34399,phf8
transcript/34400,mcart1
transcript/34401,rassf8
transcript/34402,celf2
transcript/34403,kmt5b
transcript/34404,camsap2a
transcript/34405,anapc4
transcript/34406,dnai3
transcript/34407,itpr1b
transcript/34408,ppp4r4
transcript/34410,dlk1
transcript/34411,bri3bp
transcript/34412,enschap00000003158
transcript/34413,ccdc66
transcript/34414,med22
transcript/34415,zdhhc5b
transcript/34416,dnajc3a
transcript/34417,smarce1
transcript/34418,kdm6ba
transcript/34419,atp8b4
transcript/34420,cdc15
transcript/34421,mylka
transcript/34422,bcar3
transcript/34423,sytl1
transcript/34424,magi1b
transcript/34425,mctp2a
transcript/34426,nfib
transcript/34427,tek
transcript/34428,slc9a1b
transcript/34429,usp45
transcript/34430,tox2
transcript/34431,gramd3
transcript/34432,or101-1
transcript/34433,mmp15a
transcript/34434,emc1
transcript/34435,pparg
transcript/34436,ift88
transcript/34437,slc4a11
transcript/34438,dzank1
transcript/34439,kmt5b
transcript/34440,foxred1
transcript/34441,wdr46
transcript/34442,ttn
transcript/34444,senp1
transcript/34445,dhrs9
transcript/34446,glyr1
transcript/34447,sepn1
transcript/34448,map1ab
transcript/34449,marchf9
transcript/34450,leng8
transcript/34451,samd11
transcript/34452,rhbdl3
transcript/34453,syn1
transcript/34454,homer3
transcript/34455,pcdhgb1
transcript/34456,rps6kal
transcript/34457,btbd9
transcript/34458,arsh
transcript/34459,gabrb3
transcript/34460,acsbg1
transcript/34461,mynn
transcript/34462,si:ch211-260e23.9
transcript/34463,mtrex
transcript/34464,enschap00000005598
transcript/34465,cep104
transcript/34466,net1
transcript/34467,atp6v0a2a
transcript/34468,mms19
transcript/34469,zgc:174164
transcript/34470,osbp2
transcript/34471,znf280d
transcript/34472,kif20a
transcript/34473,enschap00000018828
transcript/34474,frrs1b
transcript/34475,dld
transcript/34476,abat
transcript/34477,gcgra
transcript/34478,srsf11
transcript/34479,atg16l1
transcript/34480,chpf2
transcript/34481,enschap00000047314
transcript/34482,eif4g1
transcript/34483,dync1i2b
transcript/34484,smarce1
transcript/34485,enschap00000044652
transcript/34486,atp2a3
transcript/34487,psd3l
transcript/34488,cnot3a
transcript/34491,ap4e1
transcript/34492,rdh10a
transcript/34493,ctdspl2b
transcript/34494,enschap00000025190
transcript/34495,atp2b4
transcript/34496,zgc:153115
transcript/34497,panx1
transcript/34498,pwp2h
transcript/34499,ncoa5
transcript/34500,nrd1a
transcript/34501,atp2a2a
transcript/34502,yeats4
transcript/34503,ctdnep1a
transcript/34504,r3hdm1
transcript/34505,pdha1
transcript/34506,casd1
transcript/34507,nkrf
transcript/34508,atic
transcript/34509,ncapd2
transcript/34510,zbtb39
transcript/34511,grinaa
transcript/34512,cul1
transcript/34513,nfkbie
transcript/34514,rnf20
transcript/34515,si:dkey-253i9.4
transcript/34516,smg8
transcript/34517,chuk
transcript/34518,cbfa2t2
transcript/34519,enschap00000047314
transcript/34520,mogs
transcript/34521,vit
transcript/34522,esrp2
transcript/34523,diaph1
transcript/34524,grhl2b
transcript/34525,fat1a
transcript/34526,map2k2a
transcript/34527,au018091
transcript/34528,sik1
transcript/34529,pabpc4
transcript/34530,si:ch211-234p6.5
transcript/34531,hi_0258
transcript/34532,atp1a1a.2
transcript/34533,sgsm3
transcript/34534,spapb18e9.04c
transcript/34535,notch1b
transcript/34536,nab2
transcript/34537,wwp2
transcript/34538,myhb
transcript/34539,ttn
transcript/34540,zgc:113276
transcript/34541,si:dkey-40m6.8
transcript/34542,mgat4a
transcript/34543,yipf3
transcript/34545,abi2
transcript/34546,il27
transcript/34547,ftr80
transcript/34548,app
transcript/34549,spata18
transcript/34550,pcdh11
transcript/34551,pnrc2
transcript/34552,pygo2
transcript/34553,lrrc49
transcript/34554,mtmr7b
transcript/34555,kiaa2026
transcript/34556,slc26a5
transcript/34557,aff4
transcript/34558,rnf12-b
transcript/34559,taf15
transcript/34560,dnajc5ga
transcript/34561,myh10
transcript/34562,sal
transcript/34563,icam3
transcript/34564,abi1a
transcript/34565,hdlbpa
transcript/34566,prkag1
transcript/34567,tmem150b
transcript/34568,enschap00000035137
transcript/34569,zdhhc15b
transcript/34570,ncor1
transcript/34571,enschap00000023018
transcript/34572,actn2b
transcript/34573,ttn
transcript/34574,enschap00000017394
transcript/34575,trpv1
transcript/34576,ttn
transcript/34577,evl
transcript/34578,atp2b3a
transcript/34579,tlk1a
transcript/34580,dennd6b
transcript/34581,pacsin1a
transcript/34582,csnk2a2a
transcript/34583,pclo
transcript/34584,samd14
transcript/34585,dcn
transcript/34586,lipt2
transcript/34587,ccdc9
transcript/34588,lig4
transcript/34589,rrbp1a
transcript/34590,zzz3
transcript/34591,apbb1
transcript/34592,ush1ga
transcript/34593,trim23
transcript/34594,ankhd1
transcript/34595,sephs2
transcript/34596,epx
transcript/34597,kcnj5
transcript/34598,enschap00000006927
transcript/34599,fo744833.2
transcript/34600,muc2
transcript/34601,ctdspl2a
transcript/34602,sel1l
transcript/34603,atp1a3a
transcript/34604,stk3
transcript/34605,actn1
transcript/34606,cdh17
transcript/34607,p2ry10
transcript/34608,gse1
transcript/34609,cabz01032476.1
transcript/34610,enschap00000000396
transcript/34611,ctnna2
transcript/34612,obsl1
transcript/34613,rdx
transcript/34614,enschap00000012306
transcript/34615,enschap00000035820
transcript/34616,dlg5a
transcript/34617,kiaa0907
transcript/34618,nfil3-5
transcript/34619,fam184a
transcript/34620,npas4l
transcript/34621,uba3
transcript/34622,pbx1b
transcript/34623,mapk8ip3
transcript/34625,rnf213a
transcript/34626,kdm6a
transcript/34627,spsb1
transcript/34628,mybbp1a
transcript/34629,ccdc22
transcript/34630,si:ch211-107m4.1
transcript/34631,clint1a
transcript/34632,slc35a4
transcript/34633,slc44a2
transcript/34634,tmem87b
transcript/34635,zgc:154142
transcript/34636,zc3h7bb
transcript/34637,cnot3b
transcript/34638,sncaip
transcript/34639,itgb1b
transcript/34640,niban1b
transcript/34641,kctd5
transcript/34642,si:dkey-6n6.1
transcript/34643,efna4
transcript/34644,nrip1
transcript/34645,zak
transcript/34646,galnt11
transcript/34647,lrp1ba
transcript/34648,enschap00000045273
transcript/34649,slc5a6b
transcript/34650,pacs1
transcript/34651,adam23a
transcript/34652,dipk1b
transcript/34653,wdr46
transcript/34654,aco1
transcript/34655,enschap00000044434
transcript/34656,kcnn3
transcript/34657,dok7
transcript/34658,myha
transcript/34659,ets2
transcript/34660,reln
transcript/34661,bx649434.3
transcript/34663,znf648
transcript/34664,scd
transcript/34665,pol
transcript/34666,prkag2b
transcript/34667,sncb
transcript/34668,grid2
transcript/34669,scara5
transcript/34670,map6a
transcript/34671,stk31
transcript/34672,brwd1
transcript/34673,shroom1
transcript/34674,st6gal2a
transcript/34675,mfsd2aa
transcript/34676,atp6v0a2a
transcript/34677,si:ch211-15d5.11
transcript/34678,enschap00000013478
transcript/34679,cnot3a
transcript/34680,rabep1
transcript/34681,foxk2
transcript/34682,rasa1a
transcript/34683,rnf103
transcript/34684,dhtkd1
transcript/34685,vps52
transcript/34686,usp19
transcript/34687,apobb.1
transcript/34688,kdsr
transcript/34689,enschap00000017239
transcript/34690,ncam3
transcript/34691,mtss1la
transcript/34692,amelx
transcript/34693,efemp2a
transcript/34694,arhgap27
transcript/34695,smyhc3
transcript/34696,enschap00000005579
transcript/34697,ttn
transcript/34698,si:ch211-230g15.5
transcript/34699,med16
transcript/34700,dtx3l
transcript/34701,arhgap45
transcript/34702,vwa7
transcript/34703,fzr1
transcript/34705,csf1rb
transcript/34706,mbnl1
transcript/34707,zgc:162509
transcript/34708,marchf6
transcript/34709,epb41l1
transcript/34710,eftud2
transcript/34711,col11a2
transcript/34712,cabz01045212.1
transcript/34713,adgrg1
transcript/34714,u88
transcript/34716,dnajc5ga
transcript/34717,ext1c
transcript/34718,hif1ab
transcript/34719,dync1i2b
transcript/34720,mterf3
transcript/34721,enschap00000026394
transcript/34722,rdh12l
transcript/34723,nav2b
transcript/34724,il27
transcript/34725,impdh1b
transcript/34726,mtrr
transcript/34727,eif4g2
transcript/34728,hrgpnt3
transcript/34729,rspry1
transcript/34730,ncapg
transcript/34731,selenoo1
transcript/34732,wee1
transcript/34733,tmem259
transcript/34734,net1
transcript/34735,prkchb
transcript/34736,mat1a
transcript/34737,ric8b
transcript/34738,myh9b
transcript/34739,si:dkey-65b12.6
transcript/34740,exoc1
transcript/34741,nfkb2
transcript/34743,csnk1d
transcript/34744,lig1
transcript/34745,si:dkey-24p1.6
transcript/34746,nst1
transcript/34747,pfkma
transcript/34748,enschap00000049631
transcript/34749,ctnnb2
transcript/34750,enschap00000025387
